id,status,availability.bikes,availability.slots
1,OPN,21,6
2,OPN,1,11
3,OPN,13,20
4,OPN,11,4
5,OPN,10,2
6,OPN,5,10
7,OPN,13,11
8,OPN,11,1
9,OPN,5,19
10,OPN,20,15
11,OPN,7,8
12,OPN,13,0
13,OPN,20,13
14,OPN,19,17
15,OPN,15,8
16,OPN,17,18
17,OPN,15,12
18,OPN,24,11
19,OPN,2,22
20,OPN,12,11
21,CLS,0,24
22,CLS,1,35
23,OPN,7,29
24,OPN,22,5
25,OPN,24,3
26,OPN,13,5
27,OPN,26,9
28,CLS,0,26
29,OPN,29,2
30,OPN,17,18
31,OPN,16,13
32,OPN,11,25
33,OPN,10,14
34,OPN,8,28
35,OPN,19,17
36,OPN,28,5
37,OPN,0,21
38,OPN,21,15
39,OPN,2,19
40,OPN,9,15
41,OPN,25,8
42,OPN,9,15
43,CLS,0,33
44,OPN,1,26
45,OPN,25,10
46,OPN,27,9
47,OPN,8,16
48,OPN,9,3
49,OPN,12,23
50,OPN,3,24
51,OPN,13,14
52,OPN,19,0
53,OPN,1,14
54,OPN,6,30
55,OPN,11,4
56,OPN,16,20
57,OPN,1,11
58,OPN,4,23
59,OPN,22,14
60,OPN,2,34
61,OPN,15,21
62,OPN,4,14
63,OPN,8,27
64,OPN,8,27
65,OPN,13,5
66,OPN,7,17
67,OPN,0,23
68,OPN,8,22
69,OPN,4,17
70,OPN,21,15
71,OPN,8,26
72,OPN,5,22
73,OPN,8,28
74,OPN,20,7
75,OPN,7,8
76,OPN,8,13
77,OPN,0,15
78,OPN,8,26
79,OPN,13,13
80,OPN,8,26
81,OPN,2,24
82,OPN,11,0
83,OPN,12,2
84,OPN,2,19
85,OPN,3,11
86,OPN,6,15
87,OPN,12,9
88,CLS,0,15
89,OPN,5,6
90,OPN,18,9
91,OPN,6,14
92,OPN,11,6
93,OPN,13,23
94,OPN,3,15
95,OPN,11,4
96,OPN,17,16
97,OPN,23,2
98,OPN,6,23
99,OPN,1,29
100,OPN,13,11
101,CLS,0,33
102,OPN,10,5
103,OPN,1,26
104,OPN,7,8
105,OPN,3,19
106,OPN,2,24
107,OPN,16,18
108,OPN,3,21
109,OPN,7,21
110,OPN,6,30
111,OPN,12,12
112,OPN,10,13
