id,status,availability.bikes,availability.slots
1,OPN,6,6
2,OPN,11,11
3,OPN,20,20
4,OPN,4,4
5,OPN,2,2
6,OPN,10,10
7,OPN,11,11
8,OPN,1,1
9,OPN,19,19
10,OPN,15,15
11,OPN,8,8
12,OPN,0,0
13,OPN,13,13
14,OPN,17,17
15,OPN,8,8
16,OPN,18,18
17,OPN,12,12
18,OPN,11,11
19,OPN,22,22
20,OPN,11,11
21,CLS,24,24
22,CLS,35,35
23,OPN,29,29
24,OPN,5,5
25,OPN,3,3
26,OPN,5,5
27,OPN,9,9
28,CLS,26,26
29,OPN,2,2
30,OPN,18,18
31,OPN,13,13
32,OPN,25,25
33,OPN,14,14
34,OPN,28,28
35,OPN,17,17
36,OPN,5,5
37,OPN,21,21
38,OPN,15,15
39,OPN,19,19
40,OPN,15,15
41,OPN,8,8
42,OPN,15,15
43,CLS,33,33
44,OPN,26,26
45,OPN,10,10
46,OPN,9,9
47,OPN,16,16
48,OPN,3,3
49,OPN,23,23
50,OPN,24,24
51,OPN,14,14
52,OPN,0,0
53,OPN,14,14
54,OPN,30,30
55,OPN,4,4
56,OPN,20,20
57,OPN,11,11
58,OPN,23,23
59,OPN,14,14
60,OPN,34,34
61,OPN,21,21
62,OPN,14,14
63,OPN,27,27
64,OPN,27,27
65,OPN,5,5
66,OPN,17,17
67,OPN,23,23
68,OPN,22,22
69,OPN,17,17
70,OPN,15,15
71,OPN,26,26
72,OPN,22,22
73,OPN,28,28
74,OPN,7,7
75,OPN,8,8
76,OPN,13,13
77,OPN,15,15
78,OPN,26,26
79,OPN,13,13
80,OPN,26,26
81,OPN,24,24
82,OPN,0,0
83,OPN,2,2
84,OPN,19,19
85,OPN,11,11
86,OPN,15,15
87,OPN,9,9
88,CLS,15,15
89,OPN,6,6
90,OPN,9,9
91,OPN,14,14
92,OPN,6,6
93,OPN,23,23
94,OPN,15,15
95,OPN,4,4
96,OPN,16,16
97,OPN,2,2
98,OPN,23,23
99,OPN,29,29
100,OPN,11,11
101,CLS,33,33
102,OPN,5,5
103,OPN,26,26
104,OPN,8,8
105,OPN,19,19
106,OPN,24,24
107,OPN,18,18
108,OPN,21,21
109,OPN,21,21
110,OPN,30,30
111,OPN,12,12
112,OPN,13,13
113,OPN,8,8
114,OPN,21,21
115,OPN,4,4
116,OPN,21,21
117,OPN,4,4
118,OPN,5,5
119,OPN,27,27
120,OPN,6,6
121,OPN,14,14
122,OPN,18,18
123,OPN,19,19
124,OPN,24,24
125,OPN,10,10
126,OPN,14,14
127,OPN,26,26
128,OPN,1,1
129,OPN,8,8
130,OPN,15,15
131,OPN,15,15
132,OPN,3,3
133,OPN,36,36
134,OPN,29,29
135,OPN,28,28
136,OPN,11,11
137,OPN,13,13
138,OPN,19,19
139,OPN,17,17
140,OPN,18,18
141,OPN,8,8
142,OPN,19,19
143,OPN,0,0
144,OPN,15,15
145,OPN,24,24
146,OPN,2,2
147,OPN,20,20
148,OPN,3,3
149,OPN,6,6
150,CLS,27,27
151,OPN,18,18
152,OPN,19,19
153,OPN,19,19
154,OPN,20,20
155,OPN,16,16
156,OPN,19,19
157,OPN,22,22
158,OPN,21,21
159,OPN,26,26
160,OPN,17,17
161,OPN,20,20
162,OPN,16,16
163,OPN,36,36
164,OPN,25,25
165,OPN,17,17
166,OPN,21,21
167,OPN,17,17
168,OPN,19,19
169,OPN,8,8
170,OPN,17,17
171,OPN,19,19
172,OPN,15,15
173,OPN,18,18
174,OPN,20,20
175,OPN,16,16
176,OPN,20,20
177,OPN,21,21
178,OPN,14,14
179,OPN,24,24
180,OPN,19,19
181,OPN,20,20
182,OPN,28,28
183,OPN,33,33
184,OPN,18,18
185,OPN,14,14
186,OPN,7,7
187,OPN,18,18
188,OPN,10,10
189,OPN,18,18
190,OPN,20,20
191,OPN,17,17
192,OPN,21,21
193,OPN,29,29
194,OPN,16,16
195,OPN,10,10
196,OPN,12,12
197,OPN,17,17
198,OPN,19,19
199,OPN,14,14
200,OPN,17,17
201,OPN,1,1
202,OPN,4,4
203,OPN,7,7
204,OPN,10,10
205,OPN,8,8
206,OPN,7,7
207,OPN,20,20
208,OPN,26,26
209,OPN,16,16
210,OPN,12,12
211,OPN,35,35
212,OPN,33,33
213,OPN,23,23
214,OPN,23,23
215,OPN,13,13
216,OPN,9,9
217,OPN,9,9
218,OPN,20,20
219,OPN,25,25
220,OPN,19,19
221,OPN,13,13
222,OPN,17,17
223,OPN,29,29
224,OPN,12,12
225,OPN,16,16
226,OPN,21,21
227,OPN,15,15
228,OPN,20,20
229,OPN,12,12
230,OPN,14,14
231,OPN,20,20
232,OPN,21,21
233,OPN,0,0
234,OPN,21,21
235,OPN,16,16
236,OPN,22,22
237,OPN,20,20
238,OPN,10,10
239,OPN,11,11
240,OPN,21,21
241,OPN,17,17
242,OPN,7,7
243,OPN,13,13
244,OPN,6,6
245,OPN,10,10
246,OPN,7,7
247,OPN,20,20
248,OPN,23,23
249,OPN,10,10
250,OPN,14,14
251,OPN,10,10
252,OPN,14,14
253,OPN,12,12
254,OPN,22,22
255,OPN,24,24
256,OPN,27,27
257,OPN,16,16
258,OPN,23,23
259,OPN,18,18
260,OPN,16,16
261,OPN,21,21
262,OPN,21,21
263,OPN,25,25
264,OPN,28,28
265,OPN,24,24
266,OPN,28,28
267,OPN,32,32
268,OPN,19,19
269,OPN,32,32
270,OPN,14,14
271,OPN,36,36
272,OPN,34,34
273,OPN,30,30
274,OPN,32,32
275,OPN,26,26
276,OPN,14,14
277,OPN,7,7
278,OPN,9,9
279,OPN,24,24
280,OPN,5,5
281,OPN,18,18
282,OPN,9,9
283,OPN,5,5
284,OPN,14,14
285,OPN,8,8
286,OPN,16,16
287,OPN,15,15
288,OPN,5,5
289,OPN,7,7
290,OPN,4,4
291,OPN,5,5
292,OPN,9,9
293,OPN,12,12
294,OPN,12,12
295,OPN,28,28
296,OPN,13,13
297,OPN,17,17
298,OPN,15,15
299,OPN,6,6
300,OPN,16,16
301,OPN,20,20
302,OPN,17,17
303,OPN,19,19
304,OPN,22,22
305,OPN,20,20
306,OPN,18,18
307,OPN,19,19
308,OPN,19,19
309,OPN,24,24
310,OPN,0,0
311,OPN,4,4
312,OPN,18,18
313,OPN,23,23
314,OPN,0,0
315,OPN,11,11
316,OPN,21,21
317,OPN,24,24
318,OPN,5,5
319,OPN,25,25
320,OPN,7,7
321,OPN,20,20
322,OPN,18,18
323,OPN,18,18
324,OPN,14,14
325,OPN,21,21
326,OPN,24,24
327,OPN,20,20
328,OPN,6,6
329,OPN,23,23
330,OPN,15,15
331,OPN,13,13
332,OPN,22,22
333,OPN,14,14
334,OPN,10,10
335,OPN,24,24
336,OPN,10,10
337,OPN,20,20
338,OPN,17,17
339,OPN,6,6
340,OPN,26,26
341,OPN,24,24
342,OPN,15,15
343,OPN,6,6
344,OPN,7,7
345,OPN,5,5
346,OPN,1,1
347,OPN,16,16
348,OPN,12,12
349,OPN,8,8
350,OPN,22,22
351,OPN,10,10
352,OPN,29,29
353,OPN,22,22
354,CLS,23,23
355,OPN,12,12
356,OPN,4,4
357,OPN,6,6
358,OPN,20,20
359,OPN,30,30
360,OPN,18,18
361,OPN,6,6
362,OPN,20,20
363,OPN,18,18
364,OPN,22,22
365,OPN,24,24
366,OPN,23,23
367,OPN,13,13
368,OPN,24,24
369,OPN,18,18
370,OPN,26,26
371,OPN,9,9
372,OPN,3,3
373,OPN,18,18
374,OPN,3,3
375,OPN,13,13
376,OPN,21,21
377,OPN,22,22
378,OPN,25,25
379,OPN,13,13
380,OPN,12,12
381,OPN,19,19
382,OPN,19,19
383,OPN,11,11
384,OPN,19,19
385,OPN,19,19
386,OPN,31,31
387,OPN,17,17
388,OPN,11,11
389,OPN,17,17
390,OPN,25,25
391,OPN,19,19
392,OPN,16,16
393,OPN,24,24
394,OPN,25,25
395,OPN,12,12
396,OPN,10,10
397,OPN,24,24
398,OPN,20,20
399,OPN,25,25
400,OPN,11,11
401,OPN,18,18
402,OPN,11,11
403,OPN,25,25
404,OPN,15,15
405,OPN,28,28
406,OPN,16,16
407,OPN,15,15
408,OPN,20,20
409,OPN,10,10
410,OPN,6,6
411,OPN,18,18
412,OPN,14,14
413,OPN,3,3
414,OPN,15,15
415,OPN,22,22
416,OPN,17,17
417,OPN,29,29
418,OPN,25,25
419,OPN,13,13
420,OPN,12,12
421,OPN,21,21
422,OPN,16,16
423,OPN,17,17
424,OPN,14,14
425,OPN,21,21
426,OPN,17,17
427,OPN,20,20
428,OPN,23,23
429,OPN,5,5
430,OPN,19,19
431,OPN,13,13
432,OPN,19,19
433,OPN,20,20
434,OPN,10,10
435,OPN,27,27
436,OPN,20,20
437,OPN,15,15
438,OPN,17,17
439,OPN,15,15
440,CLS,0,0
441,OPN,17,17
442,OPN,12,12
443,OPN,16,16
444,OPN,11,11
445,OPN,10,10
446,OPN,25,25
447,OPN,19,19
448,OPN,25,25
449,OPN,15,15
450,OPN,5,5
451,OPN,26,26
452,OPN,9,9
453,OPN,28,28
454,OPN,13,13
455,OPN,16,16
456,OPN,19,19
457,OPN,13,13
458,OPN,16,16
459,OPN,13,13
